Age,BusinessTravel,DailyRate,Deparment,DistanceFromHome,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolveMaleent,JobSatisfaction,MartialStatus,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisFemaleaction,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
25,Travel_Femalerequently,1283,Human Resources,15,4,80,12800,10240,Sales Executive,18,Life Sciences,1,37-6304374,2,Male,4,4,Single,4,Yes,No,15,1,2,80,2,12,4,4,22,4,11,3,No
31,Travel_Femalerequently,1340,Research & DevelopMaleent,31,1,57,9120,7296,Laboratory Technician,16,Sales,1,40-7540881,2,Female,3,4,Single,8,Yes,No,11,2,1,80,1,36,4,3,24,17,13,2,Yes
41,Travel_Femalerequently,579,Research & DevelopMaleent,41,1,54,8640,6912,Sales Representative,16,Technical Degree,1,41-1273491,3,Male,3,2,Single,6,Yes,No,16,2,2,80,0,27,6,3,39,8,7,4,Yes
18,Travel_Femalerequently,782,Sales,7,1,144,23040,18432,Sales Representative,16,Other,1,98-8778107,3,Male,1,1,Married,2,Yes,No,12,4,4,80,0,26,2,4,12,17,4,12,Yes
53,Non-Travel,383,Human Resources,6,1,101,16160,12928,Laboratory Technician,16,Sales,1,02-0870641,3,Female,4,2,Single,4,Yes,No,14,3,4,80,0,35,0,1,1,6,10,8,No
26,Non-Travel,661,Human Resources,37,1,94,15040,12032,Laboratory Technician,14,Medical,1,92-4566805,2,Female,2,4,Single,6,Yes,No,24,3,1,80,1,36,5,2,28,10,14,12,Yes
57,Travel_Rarely,1173,Research & DevelopMaleent,41,4,146,23360,18688,MaleanuFemaleacturing Director,16,Medical,1,87-3502828,3,Male,1,1,Married,6,Yes,No,15,3,4,80,2,11,4,4,0,8,1,8,No
39,Non-Travel,487,Research & DevelopMaleent,17,1,70,11200,8960,Sales Representative,16,Technical Degree,1,44-0659818,3,Female,1,1,Single,5,Yes,No,16,2,1,80,1,27,4,1,17,19,13,6,No
54,Travel_Rarely,637,Research & DevelopMaleent,36,2,105,16800,13440,Research Director,20,Other,1,92-0949359,3,Male,3,1,Single,4,Yes,No,13,1,2,80,0,8,1,1,27,20,0,13,No
25,Non-Travel,526,Sales,1,1,103,16480,13184,Healthcare Representative,16,Life Sciences,1,52-8751947,2,Female,1,2,Single,3,Yes,No,10,4,3,80,1,34,6,4,2,15,1,3,No
48,Travel_Rarely,1466,Research & DevelopMaleent,35,4,30,4800,3840,Laboratory Technician,16,Other,1,07-4947628,3,Male,2,2,Single,6,Yes,No,13,1,2,80,3,32,1,3,22,2,11,5,No
45,Travel_Femalerequently,1436,Research & DevelopMaleent,34,1,145,23200,18560,Sales Representative,16,Human Resources,1,85-2239721,3,Male,4,4,Married,3,Yes,No,18,3,3,80,1,23,0,4,28,17,0,17,Yes
18,Travel_Rarely,169,Sales,17,4,36,5760,4608,Healthcare Representative,12,Sales,1,96-9883448,4,Male,3,1,Single,0,Yes,No,11,3,4,80,2,24,5,2,37,10,6,13,No
60,Travel_Femalerequently,690,Research & DevelopMaleent,49,1,100,16000,12800,Laboratory Technician,16,Human Resources,1,41-5333781,1,Female,2,2,Married,8,Yes,No,16,3,3,80,0,28,3,3,36,11,7,9,No
33,Non-Travel,587,Sales,32,3,118,18880,15104,Sales Executive,14,Technical Degree,1,46-7197842,1,Female,2,3,Married,5,Yes,No,16,4,3,80,2,13,6,3,38,3,8,15,No
49,Non-Travel,1170,Human Resources,3,1,43,6880,5504,Sales Representative,12,Other,1,54-1205893,3,Female,4,4,Single,7,Yes,No,24,3,3,80,1,38,6,3,20,13,13,14,No
18,Travel_Rarely,173,Sales,38,1,51,8160,6528,Human Resources,16,Sales,1,81-8417686,4,Male,3,2,Married,5,Yes,No,22,1,4,80,1,10,0,2,21,13,6,14,No
30,Travel_Femalerequently,108,Research & DevelopMaleent,7,5,103,16480,13184,Research Director,16,Human Resources,1,18-7895956,2,Male,1,4,Single,3,Yes,No,17,3,1,80,2,15,6,3,17,10,6,6,Yes
44,Travel_Femalerequently,1475,Sales,17,5,32,5120,4096,Manager,16,Life Sciences,1,99-0934502,2,Male,3,1,Single,3,Yes,No,12,3,2,80,3,9,1,2,15,14,12,16,Yes
37,Travel_Rarely,1073,Human Resources,1,1,131,20960,16768,Laboratory Technician,18,Life Sciences,1,02-6917561,4,Female,1,2,Single,0,Yes,No,18,4,2,80,0,35,1,1,13,17,1,11,Yes
59,Non-Travel,156,Sales,50,5,53,8480,6784,Sales Executive,18,Sales,1,09-8568025,1,Male,1,1,Single,0,Yes,No,16,3,4,80,3,23,4,1,22,13,13,5,No
44,Non-Travel,1473,Sales,2,3,99,15840,12672,MaleanuFemaleacturing Director,16,Sales,1,03-3560573,2,Male,2,3,Single,8,Yes,No,23,2,4,80,1,0,1,4,29,4,7,5,No
24,Travel_Rarely,599,Research & DevelopMaleent,12,1,98,15680,12544,Healthcare Representative,16,Sales,1,73-6465233,4,Female,4,3,Married,3,Yes,No,22,1,2,80,1,4,0,4,12,3,7,17,No
18,Travel_Femalerequently,1073,Human Resources,24,5,125,20000,16000,MaleanuFemaleacturing Director,14,Sales,1,44-9291249,3,Female,4,2,Married,4,Yes,No,18,4,2,80,2,3,5,3,13,15,3,15,Yes
43,Travel_Femalerequently,465,Research & DevelopMaleent,4,5,135,21600,17280,MaleanuFemaleacturing Director,14,Other,1,44-1630600,1,Female,2,3,Married,8,Yes,No,24,3,3,80,2,15,6,4,16,12,15,4,No
58,Travel_Femalerequently,333,Sales,3,4,51,8160,6528,Manager,16,Life Sciences,1,15-8325865,3,Male,3,2,Single,3,Yes,No,17,4,3,80,2,9,0,1,4,5,12,1,No
43,Travel_Rarely,195,Research & DevelopMaleent,38,4,112,17920,14336,Research Scientist,18,Technical Degree,1,46-5835043,2,Male,3,2,Single,2,Yes,No,13,4,3,80,2,15,6,3,2,3,3,12,No
56,Travel_Femalerequently,587,Sales,24,3,62,9920,7936,Research Scientist,20,Medical,1,23-3723274,1,Female,3,4,Single,1,Yes,No,12,4,3,80,1,11,6,3,1,11,12,8,No
57,Travel_Rarely,818,Sales,36,3,116,18560,14848,Manager,16,Life Sciences,1,76-8237396,4,Female,3,4,Single,1,Yes,No,23,2,2,80,1,33,1,2,8,0,1,1,Yes
35,Travel_Femalerequently,1053,Research & DevelopMaleent,43,5,81,12960,10368,Research Director,18,Life Sciences,1,83-9965432,2,Female,1,3,Single,2,Yes,No,24,3,3,80,3,30,3,3,12,6,12,1,No
39,Travel_Femalerequently,597,Research & DevelopMaleent,41,4,106,16960,13568,Research Director,18,Medical,1,45-7691116,2,Female,2,1,Married,0,Yes,No,11,3,1,80,2,37,3,3,6,7,15,10,No
60,Travel_Rarely,1288,Human Resources,38,2,126,20160,16128,Research Scientist,16,Life Sciences,1,49-8055418,2,Male,1,3,Single,5,Yes,No,23,4,4,80,0,19,0,4,34,1,8,8,No
40,Non-Travel,311,Research & DevelopMaleent,14,5,82,13120,10496,Manager,18,Human Resources,1,74-6179178,3,Male,1,1,Married,0,Yes,No,23,3,3,80,3,0,2,2,8,13,4,4,No
26,Travel_Femalerequently,1074,Research & DevelopMaleent,22,3,148,23680,18944,Sales Executive,18,Medical,1,30-8076017,2,Male,3,3,Single,3,Yes,No,22,3,4,80,2,16,6,2,6,3,10,4,No
60,Travel_Femalerequently,612,Human Resources,40,2,39,6240,4992,Laboratory Technician,16,Medical,1,49-6608912,3,Male,2,4,Married,7,Yes,No,24,1,1,80,0,33,2,3,40,2,10,5,Yes
54,Travel_Rarely,996,Sales,23,1,31,4960,3968,Healthcare Representative,12,Technical Degree,1,95-6115280,4,Male,1,1,Married,8,Yes,No,16,2,3,80,0,32,3,1,13,13,6,1,Yes
23,Travel_Rarely,665,Sales,21,1,120,19200,15360,Healthcare Representative,12,Other,1,35-6472916,3,Female,3,1,Single,4,Yes,No,12,2,3,80,0,33,2,2,39,1,0,12,No
19,Travel_Femalerequently,538,Human Resources,2,5,116,18560,14848,Human Resources,14,Other,1,30-1026158,1,Male,3,3,Married,1,Yes,No,18,1,3,80,2,25,1,1,26,7,13,15,Yes
48,Travel_Femalerequently,240,Human Resources,39,4,68,10880,8704,Manager,16,Medical,1,83-0618400,1,Male,1,2,Single,8,Yes,No,18,1,1,80,3,18,2,2,23,8,11,5,No
42,Travel_Rarely,607,Human Resources,16,2,70,11200,8960,Human Resources,14,Other,1,36-3695396,3,Female,3,3,Single,3,Yes,No,14,2,2,80,1,6,4,2,20,10,2,4,Yes
56,Non-Travel,188,Research & DevelopMaleent,10,1,53,8480,6784,Human Resources,16,Medical,1,41-4997934,2,Male,3,4,Single,7,Yes,No,19,2,3,80,0,28,0,3,8,5,9,7,No
53,Travel_Rarely,346,Research & DevelopMaleent,23,1,69,11040,8832,Laboratory Technician,18,Technical Degree,1,42-8329490,2,Female,2,2,Single,5,Yes,No,10,2,4,80,1,16,1,1,18,17,5,3,Yes
33,Travel_Femalerequently,1362,Research & DevelopMaleent,39,4,76,12160,9728,Sales Executive,16,Medical,1,03-4668034,4,Female,3,4,Single,2,Yes,No,17,4,4,80,2,2,2,4,40,20,12,2,No
51,Non-Travel,545,Research & DevelopMaleent,4,3,59,9440,7552,Laboratory Technician,16,Life Sciences,1,57-6132311,4,Male,1,4,Married,0,Yes,No,23,3,3,80,1,15,2,3,2,12,9,5,No
57,Travel_Rarely,330,Sales,47,3,93,14880,11904,Manager,16,Other,1,55-3842039,1,Female,2,2,Single,6,Yes,No,24,3,2,80,1,7,2,2,7,20,4,8,No
19,Non-Travel,754,Human Resources,6,5,148,23680,18944,MaleanuFemaleacturing Director,14,Human Resources,1,22-7227884,4,Female,1,2,Single,4,Yes,No,10,2,3,80,2,37,4,3,10,3,9,16,No
23,Non-Travel,872,Sales,29,4,81,12960,10368,Healthcare Representative,16,Life Sciences,1,68-0857265,4,Female,3,4,Single,5,Yes,No,13,2,3,80,2,31,5,3,37,3,12,11,No
54,Travel_Rarely,957,Human Resources,21,1,147,23520,18816,Healthcare Representative,14,Medical,1,03-1487156,2,Male,4,3,Single,2,Yes,No,24,3,4,80,0,6,2,2,18,11,10,11,No
40,Travel_Rarely,1018,Research & DevelopMaleent,12,2,126,20160,16128,Sales Executive,16,Medical,1,80-6557670,2,Female,2,3,Married,8,Yes,No,25,4,3,80,0,17,3,1,36,5,7,14,No
33,Travel_Femalerequently,446,Research & DevelopMaleent,7,3,33,5280,4224,Healthcare Representative,12,Human Resources,1,38-7108172,4,Male,4,1,Married,1,Yes,No,19,3,3,80,2,2,3,1,10,15,1,13,No
19,Travel_Rarely,1019,Human Resources,26,5,74,11840,9472,Sales Executive,14,Technical Degree,1,57-8299651,3,Female,1,2,Single,8,Yes,No,10,4,1,80,3,4,3,2,20,3,2,7,No
24,Travel_Rarely,1482,Sales,21,3,126,20160,16128,Manager,14,Medical,1,80-8772872,2,Female,4,2,Single,8,Yes,No,25,3,2,80,1,7,0,1,3,11,8,15,Yes
31,Travel_Femalerequently,269,Sales,47,3,113,18080,14464,Manager,18,Medical,1,83-7300106,2,Male,1,3,Single,1,Yes,No,17,2,3,80,1,18,1,1,22,0,14,11,No
58,Travel_Femalerequently,1159,Sales,30,1,138,22080,17664,Sales Representative,16,Other,1,60-5660177,3,Male,4,1,Married,5,Yes,No,18,2,2,80,1,13,0,2,23,18,11,13,No
25,Non-Travel,829,Research & DevelopMaleent,3,3,85,13600,10880,Human Resources,14,Life Sciences,1,84-8659636,3,Female,4,4,Single,6,Yes,No,15,3,2,80,1,0,4,2,18,1,14,14,No
30,Travel_Femalerequently,447,Research & DevelopMaleent,2,1,124,19840,15872,Sales Representative,12,Technical Degree,1,62-0949243,3,Female,1,2,Single,7,Yes,No,15,4,4,80,0,9,6,4,31,10,14,9,Yes
44,Non-Travel,1041,Research & DevelopMaleent,26,4,136,21760,17408,Research Scientist,16,Human Resources,1,37-0783081,2,Male,3,4,Married,3,Yes,No,21,4,4,80,2,12,1,2,34,9,9,12,No
55,Travel_Rarely,820,Sales,29,4,90,14400,11520,Sales Executive,14,Medical,1,12-9137636,2,Male,4,4,Single,5,Yes,No,15,3,3,80,2,37,3,2,23,3,6,0,Yes
44,Non-Travel,961,Human Resources,21,1,74,11840,9472,Laboratory Technician,14,Technical Degree,1,24-5597330,1,Male,1,4,Married,6,Yes,No,22,4,3,80,0,33,6,1,27,8,8,12,No
50,Travel_Femalerequently,1399,Sales,30,1,80,12800,10240,Laboratory Technician,18,Technical Degree,1,27-5636230,4,Male,4,4,Married,4,Yes,No,24,3,1,80,1,24,1,4,25,14,3,3,Yes
34,Travel_Femalerequently,684,Research & DevelopMaleent,30,1,130,20800,16640,Laboratory Technician,16,Technical Degree,1,30-6505094,3,Female,1,2,Married,6,Yes,No,15,2,3,80,1,7,2,3,31,20,13,17,No
19,Non-Travel,1253,Sales,26,4,148,23680,18944,Sales Executive,16,Human Resources,1,48-3243345,1,Male,1,2,Single,2,Yes,No,14,4,2,80,3,1,2,3,4,7,8,2,Yes
38,Travel_Rarely,688,Human Resources,43,4,58,9280,7424,Sales Executive,16,Sales,1,95-7178138,2,Female,2,4,Married,0,Yes,No,16,3,3,80,3,40,0,4,22,11,4,10,No
52,Travel_Rarely,1442,Research & DevelopMaleent,42,5,34,5440,4352,Sales Executive,14,Human Resources,1,72-9022870,2,Male,3,4,Single,1,Yes,No,17,3,3,80,3,3,6,4,18,6,12,10,Yes
35,Travel_Rarely,890,Human Resources,46,4,81,12960,10368,Sales Executive,16,Life Sciences,1,73-9177595,1,Male,2,3,Married,3,Yes,No,13,3,2,80,3,11,4,2,17,20,14,13,Yes
58,Non-Travel,904,Research & DevelopMaleent,10,1,144,23040,18432,Laboratory Technician,16,Technical Degree,1,83-6384667,1,Female,1,2,Married,2,Yes,No,14,2,3,80,1,15,6,3,38,3,10,8,No
36,Travel_Rarely,496,Human Resources,34,2,145,23200,18560,Manager,16,Medical,1,27-4880689,1,Female,2,1,Married,7,Yes,No,24,4,3,80,0,2,0,4,29,13,13,15,Yes
26,Travel_Rarely,456,Research & DevelopMaleent,24,1,75,12000,9600,Human Resources,14,Other,1,29-6436404,4,Male,4,4,Married,4,Yes,No,12,4,3,80,1,40,0,4,16,18,1,5,No
26,Travel_Femalerequently,739,Sales,7,1,113,18080,14464,Laboratory Technician,14,Human Resources,1,86-5631525,1,Female,1,3,Married,7,Yes,No,23,2,2,80,0,0,5,4,13,16,0,17,Yes
60,Travel_Femalerequently,253,Human Resources,38,4,68,10880,8704,Research Director,20,Other,1,65-1138048,1,Female,4,2,Single,4,Yes,No,24,4,1,80,3,27,1,1,28,16,9,10,Yes
34,Non-Travel,1302,Research & DevelopMaleent,32,4,78,12480,9984,MaleanuFemaleacturing Director,16,Human Resources,1,50-0424792,3,Male,4,1,Married,3,Yes,No,15,1,3,80,2,11,1,3,31,2,2,9,Yes
51,Travel_Rarely,1219,Research & DevelopMaleent,11,4,72,11520,9216,Human Resources,12,Sales,1,22-7769798,3,Female,4,3,Married,3,Yes,No,12,3,4,80,2,39,3,1,13,17,0,8,No
47,Travel_Rarely,203,Sales,43,2,82,13120,10496,Sales Executive,18,Life Sciences,1,46-3290009,4,Male,3,2,Married,8,Yes,No,18,4,1,80,0,4,1,4,10,19,15,15,Yes
32,Travel_Rarely,1028,Human Resources,27,2,77,12320,9856,Human Resources,16,Medical,1,85-5254626,4,Female,4,4,Single,6,Yes,No,12,3,1,80,1,37,5,1,23,14,0,13,Yes
59,Travel_Femalerequently,1022,Sales,4,1,57,9120,7296,Laboratory Technician,14,Medical,1,60-7765096,4,Female,1,2,Married,7,Yes,No,16,3,1,80,1,40,5,3,6,0,6,6,Yes
37,Non-Travel,998,Sales,9,1,106,16960,13568,Sales Representative,18,Other,1,54-5757654,3,Female,3,3,Single,3,Yes,No,20,3,3,80,1,1,0,4,28,6,1,11,Yes
18,Travel_Rarely,1004,Sales,20,2,30,4800,3840,Sales Representative,18,Life Sciences,1,61-0265438,1,Female,2,4,Single,1,Yes,No,10,2,2,80,0,8,2,4,34,3,15,2,Yes
24,Travel_Rarely,1362,Research & DevelopMaleent,47,1,72,11520,9216,Laboratory Technician,14,Life Sciences,1,57-9363204,2,Female,3,1,Married,0,Yes,No,12,3,4,80,0,11,3,3,28,15,10,16,Yes
37,Travel_Rarely,670,Human Resources,48,2,146,23360,18688,Sales Executive,16,Other,1,31-3965242,3,Male,3,3,Married,5,Yes,No,14,4,3,80,0,8,4,3,6,15,10,11,No
33,Non-Travel,466,Sales,16,4,74,11840,9472,Human Resources,14,Life Sciences,1,32-5291978,1,Female,4,3,Single,3,Yes,No,15,3,3,80,3,27,2,3,2,4,2,4,Yes
31,Non-Travel,1140,Human Resources,45,4,80,12800,10240,Healthcare Representative,12,Human Resources,1,94-8568942,3,Male,3,1,Single,5,Yes,No,17,2,2,80,3,28,5,2,3,1,10,14,Yes
39,Non-Travel,1027,Research & DevelopMaleent,4,5,110,17600,14080,Sales Executive,18,Sales,1,50-7324309,2,Male,1,1,Single,3,Yes,No,13,4,3,80,2,27,2,3,37,13,4,13,No
26,Travel_Rarely,204,Research & DevelopMaleent,13,4,42,6720,5376,Human Resources,16,Human Resources,1,71-5487300,2,Female,4,1,Married,1,Yes,No,20,2,3,80,2,12,5,3,18,20,10,15,Yes
57,Travel_Femalerequently,994,Sales,10,5,127,20320,16256,Sales Executive,16,Sales,1,45-2798932,2,Female,1,1,Single,2,Yes,No,11,1,4,80,3,10,2,4,18,8,1,9,No
54,Non-Travel,1464,Sales,15,3,138,22080,17664,Research Director,20,Life Sciences,1,08-8458496,4,Male,3,1,Married,0,Yes,No,19,2,1,80,2,35,5,3,10,5,13,15,Yes
55,Travel_Rarely,1087,Research & DevelopMaleent,10,5,50,8000,6400,Manager,16,Human Resources,1,44-2152487,3,Male,4,1,Single,2,Yes,No,10,2,2,80,3,7,6,2,36,15,2,17,Yes
48,Travel_Femalerequently,1141,Sales,37,4,111,17760,14208,Sales Executive,14,Medical,1,80-9667145,1,Male,1,2,Married,3,Yes,No,24,3,4,80,3,7,0,4,27,3,11,1,No
49,Travel_Femalerequently,895,Research & DevelopMaleent,14,5,119,19040,15232,MaleanuFemaleacturing Director,16,Technical Degree,1,27-8108257,4,Male,1,3,Single,7,Yes,No,16,2,3,80,2,38,4,2,29,10,14,16,No
30,Travel_Femalerequently,1045,Human Resources,15,5,96,15360,12288,Manager,16,Medical,1,45-2218885,4,Female,1,3,Married,3,Yes,No,14,3,3,80,3,21,5,3,15,0,11,4,Yes
54,Travel_Rarely,1300,Human Resources,47,2,33,5280,4224,Sales Representative,14,Other,1,61-9848412,2,Female,4,4,Married,1,Yes,No,12,3,4,80,0,23,2,1,10,17,5,9,No
59,Travel_Femalerequently,675,Sales,37,2,56,8960,7168,Sales Executive,16,Technical Degree,1,71-1505300,1,Female,1,4,Single,6,Yes,No,17,3,3,80,1,13,6,4,33,20,5,3,No
44,Travel_Femalerequently,687,Research & DevelopMaleent,21,2,94,15040,12032,Human Resources,14,Human Resources,1,14-3656211,3,Female,1,1,Single,2,Yes,No,19,1,2,80,0,16,1,1,15,12,5,13,Yes
28,Travel_Femalerequently,1453,Research & DevelopMaleent,23,5,103,16480,13184,MaleanuFemaleacturing Director,16,Human Resources,1,35-4562586,2,Female,3,1,Single,8,Yes,No,24,2,1,80,2,19,5,3,36,20,14,2,Yes
56,Non-Travel,956,Sales,44,4,110,17600,14080,Research Director,16,Other,1,91-9287725,4,Female,3,1,Single,6,Yes,No,17,1,2,80,2,36,3,2,39,6,12,7,No
25,Travel_Rarely,1399,Research & DevelopMaleent,17,5,60,9600,7680,Sales Executive,16,Other,1,43-2291115,4,Male,1,4,Single,2,Yes,No,19,2,3,80,3,29,6,3,2,18,5,17,No
42,Travel_Femalerequently,837,Sales,19,4,117,18720,14976,Manager,14,Technical Degree,1,33-5728751,1,Male,1,1,Single,1,Yes,No,20,3,4,80,3,14,4,2,16,20,1,4,No
35,Non-Travel,620,Human Resources,10,2,49,7840,6272,Laboratory Technician,18,Other,1,62-6105753,3,Female,4,4,Married,4,Yes,No,24,3,3,80,0,4,1,4,30,16,10,16,No
25,Non-Travel,586,Research & DevelopMaleent,20,4,108,17280,13824,Research Director,20,Technical Degree,1,48-6351058,1,Female,2,1,Single,8,Yes,No,16,3,4,80,3,36,3,3,1,4,9,7,No
29,Non-Travel,182,Sales,22,4,149,23840,19072,Sales Executive,16,Life Sciences,1,90-2579122,4,Male,2,4,Married,0,Yes,No,21,1,4,80,3,11,3,4,4,19,4,6,No
54,Travel_Rarely,958,Human Resources,24,5,109,17440,13952,MaleanuFemaleacturing Director,16,Technical Degree,1,35-5015308,2,Male,4,4,Married,1,Yes,No,20,4,4,80,2,36,1,1,22,11,7,11,No
33,Non-Travel,1003,Human Resources,46,5,122,19520,15616,Human Resources,14,Technical Degree,1,21-9213412,3,Male,2,1,Married,1,Yes,No,19,4,4,80,2,1,4,1,38,12,15,13,No
57,Travel_Rarely,1029,Sales,14,1,130,20800,16640,Sales Representative,14,Human Resources,1,25-9224001,3,Male,1,2,Single,4,Yes,No,11,4,4,80,0,14,0,3,32,19,8,5,Yes
58,Travel_Femalerequently,1438,Human Resources,23,4,104,16640,13312,MaleanuFemaleacturing Director,14,Sales,1,20-8670737,3,Male,1,4,Married,1,Yes,No,21,1,2,80,3,0,0,3,37,6,8,1,Yes
18,Travel_Rarely,747,Human Resources,46,3,76,12160,9728,Manager,16,Other,1,21-3710978,2,Female,3,3,Married,4,Yes,No,15,3,2,80,1,19,3,1,40,18,6,5,Yes
43,Non-Travel,212,Human Resources,48,2,71,11360,9088,Healthcare Representative,12,Human Resources,1,40-9104825,3,Female,1,1,Single,6,Yes,No,20,4,4,80,0,16,5,2,32,4,8,1,No
20,Travel_Femalerequently,616,Human Resources,2,3,100,16000,12800,Research Director,20,Life Sciences,1,56-4889262,4,Female,2,4,Married,8,Yes,No,22,2,1,80,1,4,1,4,24,4,8,13,Yes
24,Travel_Rarely,464,Research & DevelopMaleent,13,1,134,21440,17152,Laboratory Technician,16,Other,1,42-9235206,3,Male,2,4,Single,6,Yes,No,16,2,2,80,0,29,3,1,3,6,4,0,Yes
59,Non-Travel,763,Research & DevelopMaleent,2,2,38,6080,4864,Sales Representative,18,Technical Degree,1,02-0990282,2,Female,4,4,Married,6,Yes,No,18,2,2,80,0,31,4,2,19,19,13,10,No
52,Travel_Femalerequently,841,Research & DevelopMaleent,36,3,94,15040,12032,Research Scientist,18,Human Resources,1,30-8987588,3,Male,2,4,Married,8,Yes,No,19,4,3,80,2,5,0,4,5,1,8,14,Yes
50,Travel_Femalerequently,1052,Sales,17,3,142,22720,18176,Sales Executive,18,Sales,1,53-6000529,3,Male,3,3,Married,5,Yes,No,21,2,2,80,2,30,5,4,36,10,12,3,Yes
48,Travel_Femalerequently,1084,Research & DevelopMaleent,39,5,54,8640,6912,Research Director,16,Human Resources,1,19-4115144,3,Female,2,3,Single,4,Yes,No,16,4,3,80,3,11,4,1,36,8,3,7,No
21,Travel_Femalerequently,1430,Research & DevelopMaleent,39,1,96,15360,12288,Sales Representative,16,Sales,1,43-4643726,1,Male,4,2,Married,4,Yes,No,25,4,4,80,1,26,5,1,19,19,12,14,No
60,Non-Travel,1303,Sales,34,5,36,5760,4608,MaleanuFemaleacturing Director,14,Medical,1,72-2775876,4,Female,2,1,Single,2,Yes,No,16,4,4,80,2,21,5,2,20,16,15,5,No
27,Travel_Femalerequently,120,Human Resources,1,1,128,20480,16384,Human Resources,14,Technical Degree,1,57-5195309,4,Female,2,2,Married,1,Yes,No,14,3,3,80,0,34,0,4,7,8,2,3,No
28,Travel_Femalerequently,794,Sales,24,4,104,16640,13312,MaleanuFemaleacturing Director,16,Other,1,80-9766229,1,Female,2,2,Married,6,Yes,No,24,2,1,80,2,13,3,3,3,11,9,14,Yes
54,Travel_Rarely,1180,Human Resources,8,1,126,20160,16128,Laboratory Technician,14,Sales,1,56-1716313,4,Female,3,2,Single,4,Yes,No,16,4,2,80,1,22,1,1,29,18,15,12,No
42,Travel_Femalerequently,1328,Sales,29,2,145,23200,18560,MaleanuFemaleacturing Director,14,Human Resources,1,73-7614793,4,Female,4,2,Single,2,Yes,No,21,3,4,80,0,39,2,4,10,2,11,8,Yes
60,Non-Travel,197,Sales,17,4,73,11680,9344,Human Resources,14,Life Sciences,1,04-8418212,4,Male,4,3,Married,6,Yes,No,13,2,4,80,3,14,6,4,31,6,14,11,Yes
26,Non-Travel,572,Human Resources,47,3,125,20000,16000,Sales Executive,16,Other,1,17-2004137,2,Female,4,1,Single,0,Yes,No,13,1,3,80,2,8,6,4,15,8,10,1,Yes
20,Travel_Femalerequently,1278,Research & DevelopMaleent,32,1,112,17920,14336,Sales Representative,18,Medical,1,50-2725891,2,Female,4,1,Married,5,Yes,No,20,4,3,80,0,31,2,3,29,0,14,14,No
43,Non-Travel,1213,Sales,7,4,77,12320,9856,Manager,16,Medical,1,33-8679957,3,Female,1,3,Married,1,Yes,No,12,2,3,80,3,10,4,2,8,2,11,11,Yes
42,Travel_Rarely,204,Human Resources,25,5,111,17760,14208,Research Director,20,Life Sciences,1,11-5517576,1,Female,2,2,Married,0,Yes,No,14,1,1,80,3,25,3,3,7,9,4,5,Yes
50,Non-Travel,522,Research & DevelopMaleent,29,5,69,11040,8832,MaleanuFemaleacturing Director,16,Human Resources,1,97-1318959,4,Male,3,4,Single,3,Yes,No,23,3,3,80,2,17,2,1,18,20,10,4,No
39,Travel_Femalerequently,902,Research & DevelopMaleent,23,3,133,21280,17024,MaleanuFemaleacturing Director,16,Sales,1,62-3602556,1,Male,1,2,Single,4,Yes,No,18,2,2,80,2,2,2,4,33,0,1,4,Yes
53,Travel_Femalerequently,1466,Sales,14,3,101,16160,12928,Research Director,18,Technical Degree,1,36-1323449,4,Male,1,2,Married,5,Yes,No,18,3,4,80,1,4,5,1,6,3,7,17,No
33,Travel_Rarely,518,Human Resources,40,2,61,9760,7808,Human Resources,14,Human Resources,1,79-4196411,1,Female,2,3,Single,5,Yes,No,16,3,3,80,1,10,4,4,3,20,2,8,No
32,Travel_Femalerequently,118,Research & DevelopMaleent,2,2,34,5440,4352,Human Resources,12,Human Resources,1,46-8867092,4,Female,2,4,Married,4,Yes,No,16,4,3,80,1,21,3,1,29,13,1,11,No
25,Travel_Rarely,214,Research & DevelopMaleent,8,2,132,21120,16896,Sales Executive,18,Sales,1,39-0815414,3,Male,3,3,Married,2,Yes,No,12,1,4,80,1,0,3,2,32,12,2,0,No
54,Travel_Rarely,150,Sales,8,4,81,12960,10368,Research Scientist,20,Other,1,43-1281843,4,Male,4,2,Single,8,Yes,No,20,2,3,80,2,39,3,1,2,6,15,2,No
26,Travel_Femalerequently,296,Research & DevelopMaleent,1,1,148,23680,18944,Sales Representative,18,Other,1,89-0051503,2,Male,2,2,Single,2,Yes,No,24,3,4,80,0,4,4,2,19,18,15,7,No
55,Travel_Rarely,1455,Research & DevelopMaleent,28,2,48,7680,6144,Sales Representative,12,Life Sciences,1,67-1481359,3,Male,3,3,Married,7,Yes,No,21,2,2,80,1,32,0,1,10,1,10,1,Yes
28,Travel_Femalerequently,834,Sales,18,5,146,23360,18688,Research Director,16,Other,1,06-6375076,4,Male,4,4,Single,8,Yes,No,19,3,4,80,3,33,4,2,3,15,3,9,Yes
43,Non-Travel,478,Sales,48,2,119,19040,15232,Research Scientist,18,Sales,1,64-1101426,2,Female,1,2,Married,7,Yes,No,21,1,2,80,0,13,5,1,37,14,10,4,Yes
